subject_id,condition,task,freq,emg_coh_arearate,emg_coh_med,emg_hp_coh_arearate,emg_hp_coh_med
P13,0g,0,1,3.315789474,0.944924612,3.226810119,0.95053908
P13,0g,0,2,4.087525443,0.943840829,3.503053213,0.939229579
P13,0g,0,3,3.489095667,0.934171051,3.400116313,0.929347043
P13,0g,0,4,2.935446351,0.923628586,2.613550451,0.912401967
P13,0g,0,1,3.425830034,0.945078727,3.747487055,0.952532589
P13,0g,0,2,3.24428876,0.938077888,3.430094426,0.938074829
P13,0g,0,3,3.26682912,0.931409475,3.454766981,0.932577142
P13,0g,0,4,2.445324398,0.914683327,2.439841608,0.916093486
P13,0g,0,1,3.495140239,0.941666241,3.376006665,0.944708176
P13,0g,0,2,3.202999167,0.937575276,3.494029436,0.933565388
P13,0g,0,3,3.35656762,0.926020352,3.396834213,0.93207098
P13,0g,0,4,2.489863927,0.916238481,2.466259372,0.912709993
P13,0g,12,1,2.803421282,0.946411265,3.431139461,0.94342189
P13,0g,12,2,3.30733546,0.936111289,3.332270223,0.934173777
P13,0g,12,3,3.426500435,0.931370281,3.279791244,0.927839607
P13,0g,12,4,2.76485938,0.91892015,2.593215425,0.919544094
P13,0g,12,1,3.281449178,0.94577525,2.665883932,0.948196006
P13,0g,12,2,3.246561557,0.934183582,2.836296545,0.935627936
P13,0g,12,3,3.099966454,0.929365431,3.24924522,0.929025988
P13,0g,12,4,2.694397853,0.91616451,2.625628984,0.915308793
P13,0g,12,1,3.024232178,0.951850525,3.049873204,0.939050084
P13,0g,12,2,3.049591434,0.927511873,3.402648633,0.94109431
P13,0g,12,3,3.455621302,0.928278385,3.095238095,0.920969351
P13,0g,12,4,2.514792899,0.911421073,2.906734291,0.920423284
P13,0g,180,1,2.539242219,0.940152979,2.765899865,0.943605057
P13,0g,180,2,2.947225981,0.938263904,2.867388363,0.938602924
P13,0g,180,3,2.917456022,0.920556253,3.166779432,0.927738034
P13,0g,180,4,2.860622463,0.922790255,2.348782138,0.910073367
P13,0g,180,1,2.658912475,0.948221145,2.254143646,0.94658782
P13,0g,180,2,3.169816807,0.940200199,2.605117767,0.92601918
P13,0g,180,3,3.122128526,0.930695904,2.966560047,0.924929598
P13,0g,180,4,2.695551032,0.918432147,2.494911311,0.912445446
P13,0g,90,1,3.307982583,0.947641143,3.109433962,0.951667565
P13,0g,90,2,3.697532656,0.940081408,2.99245283,0.927788696
